Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,CT,Ct Mean,Ct SD,Quantity,Delta Ct Mean,Delta Ct SD,Delta Delta Ct,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Comments,Tm1,Tm2,Tm3,Custom1,Custom2,Custom3,Custom4,Custom5,Custom6,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL,MTP
103,E7,FALSE,Ctrl,Ref,UNKNOWN,SYBR,None,0.306,0.07,1.343,21.183,20.972,0.253,,-11.684,1.332,1.709,TRUE,0.123,TRUE,3,16,1,,84.792,,,,,,,,,N,N,N,N,N
104,E8,FALSE,Ctrl,Ref,UNKNOWN,SYBR,None,0.306,0.07,1.343,20.691,20.972,0.253,,-11.684,1.332,1.709,TRUE,0.123,TRUE,3,16,1,,84.792,,,,,,,,,N,N,N,N,N
105,E9,FALSE,Ctrl,Ref,UNKNOWN,SYBR,None,0.306,0.07,1.343,21.043,20.972,0.253,,-11.684,1.332,1.709,TRUE,0.123,TRUE,3,17,1,,84.792,,,,,,,,,N,N,N,N,N
115,E19,FALSE,Tx,Ref,UNKNOWN,SYBR,None,1,0.183,5.466,21.424,21.529,0.254,,-13.393,1.529,0,TRUE,0.123,TRUE,3,16,1,,84.792,,,,,,,,,N,N,N,N,N
116,E20,FALSE,Tx,Ref,UNKNOWN,SYBR,None,1,0.183,5.466,21.345,21.529,0.254,,-13.393,1.529,0,TRUE,0.123,TRUE,3,16,1,,84.792,,,,,,,,,N,N,N,N,N
117,E21,FALSE,Tx,Ref,UNKNOWN,SYBR,None,1,0.183,5.466,21.819,21.529,0.254,,-13.393,1.529,0,TRUE,0.123,TRUE,3,16,1,,84.658,,,,,,,,,N,N,N,N,N
1,A1,FALSE,Ctrl,Target1,UNKNOWN,SYBR,None,,,,31.155,32.656,1.307,,,,,TRUE,0.097,TRUE,3,26,1,,81.701,,,,,,,,,Y,N,N,N,N
2,A2,FALSE,Ctrl,Target1,UNKNOWN,SYBR,None,,,,33.543,32.656,1.307,,,,,TRUE,0.097,TRUE,3,29,1,,81.567,,,,,,,,,Y,N,N,N,N
3,A3,FALSE,Ctrl,Target1,UNKNOWN,SYBR,None,,,,33.271,32.656,1.307,,,,,TRUE,0.097,TRUE,3,29,1,,81.701,,,,,,,,,Y,N,N,N,N
13,A13,FALSE,Tx,Target1,UNKNOWN,SYBR,None,,,,35.65,34.922,1.508,,,,,TRUE,0.097,TRUE,3,31,1,,81.836,,,,,,,,,Y,N,N,N,N
14,A14,FALSE,Tx,Target1,UNKNOWN,SYBR,None,,,,35.927,34.922,1.508,,,,,TRUE,0.097,TRUE,3,31,1,,81.836,,,,,,,,,Y,N,N,N,N
15,A15,FALSE,Tx,Target1,UNKNOWN,SYBR,None,,,,33.189,34.922,1.508,,,,,TRUE,0.097,TRUE,3,29,1,,81.836,,,,,,,,,Y,N,N,N,N
7,A7,FALSE,Ctrl,Target2,UNKNOWN,SYBR,None,0.725,0.163,3.23,33.502,33.834,0.314,,1.178,1.344,0.464,TRUE,0.058,TRUE,3,30,1,,79.282,,,,,,,,,N,N,N,N,N
8,A8,FALSE,Ctrl,Target2,UNKNOWN,SYBR,None,0.725,0.163,3.23,34.126,33.834,0.314,,1.178,1.344,0.464,TRUE,0.058,TRUE,3,30,1,,79.282,,,,,,,,,N,N,N,N,N
9,A9,FALSE,Ctrl,Target2,UNKNOWN,SYBR,None,0.725,0.163,3.23,33.874,33.834,0.314,,1.178,1.344,0.464,TRUE,0.058,TRUE,3,30,1,,79.013,,,,,,,,,N,N,N,N,N
19,A19,FALSE,Tx,Target2,UNKNOWN,SYBR,None,1,0.06,16.564,36.406,35.636,2.028,,0.714,2.527,0,TRUE,0.058,TRUE,3,31,1,,78.745,83.045,,,,,,,,Y,N,N,N,Y
20,A20,FALSE,Tx,Target2,UNKNOWN,SYBR,None,1,0.06,16.564,33.336,35.636,2.028,,0.714,2.527,0,TRUE,0.058,TRUE,3,29,1,,79.013,,,,,,,,,Y,N,N,N,N
21,A21,FALSE,Tx,Target2,UNKNOWN,SYBR,None,1,0.06,16.564,37.166,35.636,2.028,,0.714,2.527,0,TRUE,0.058,TRUE,3,34,1,,78.879,,,,,,,,,Y,N,N,N,N
10,A10,FALSE,Ctrl,Target3,UNKNOWN,SYBR,None,0.171,0.03,0.976,33.84,32.845,0.863,,0.189,1.566,2.546,TRUE,0.059,TRUE,3,30,1,,81.567,,,,,,,,,Y,N,N,N,N
11,A11,FALSE,Ctrl,Target3,UNKNOWN,SYBR,None,0.171,0.03,0.976,32.303,32.845,0.863,,0.189,1.566,2.546,TRUE,0.059,TRUE,3,29,1,,81.567,,,,,,,,,Y,N,N,N,N
12,A12,FALSE,Ctrl,Target3,UNKNOWN,SYBR,None,0.171,0.03,0.976,32.392,32.845,0.863,,0.189,1.566,2.546,TRUE,0.059,TRUE,3,29,1,,81.567,,,,,,,,,Y,N,N,N,N
22,A22,FALSE,Tx,Target3,UNKNOWN,SYBR,None,1,0.186,5.387,32.64,32.565,0.155,,-2.Tx,1.516,0,TRUE,0.059,TRUE,3,29,1,,81.433,,,,,,,,,N,N,N,N,N
23,A23,FALSE,Tx,Target3,UNKNOWN,SYBR,None,1,0.186,5.387,32.386,32.565,0.155,,-2.Tx,1.516,0,TRUE,0.059,TRUE,3,29,1,,81.433,,,,,,,,,N,N,N,N,N
24,A24,FALSE,Tx,Target3,UNKNOWN,SYBR,None,1,0.186,5.387,32.669,32.565,0.155,,-2.Tx,1.516,0,TRUE,0.059,TRUE,3,29,1,,81.433,,,,,,,,,N,N,N,N,N
4,A4,FALSE,Ctrl,Target4,UNKNOWN,SYBR,None,0.132,0.024,0.73,31.805,32.306,0.808,,-0.351,1.537,2.918,TRUE,0.12,TRUE,3,27,1,,88.69,,,,,,,,,Y,N,N,N,N
5,A5,FALSE,Ctrl,Target4,UNKNOWN,SYBR,None,0.132,0.024,0.73,33.237,32.306,0.808,,-0.351,1.537,2.918,TRUE,0.12,TRUE,3,28,1,,88.69,,,,,,,,,Y,N,N,N,N
6,A6,FALSE,Ctrl,Target4,UNKNOWN,SYBR,None,0.132,0.024,0.73,31.875,32.306,0.808,,-0.351,1.537,2.918,TRUE,0.12,TRUE,3,27,1,,88.69,76.863,,,,,,,,Y,N,N,N,Y
16,A16,FALSE,Tx,Target4,UNKNOWN,SYBR,None,1,0.185,5.412,31.482,31.654,0.192,,-3.268,1.52,0,TRUE,0.12,TRUE,3,27,1,,88.824,,,,,,,,,N,N,N,N,N
17,A17,FALSE,Tx,Target4,UNKNOWN,SYBR,None,1,0.185,5.412,31.617,31.654,0.192,,-3.268,1.52,0,TRUE,0.12,TRUE,3,27,1,,88.824,,,,,,,,,N,N,N,N,N
18,A18,FALSE,Tx,Target4,UNKNOWN,SYBR,None,1,0.185,5.412,31.862,31.654,0.192,,-3.268,1.52,0,TRUE,0.12,TRUE,3,27,1,,88.824,,,,,,,,,N,N,N,N,N
25,B1,FALSE,Ctrl,Target5,UNKNOWN,SYBR,None,0.706,0.16,3.115,34.465,34.638,0.278,,1.982,1.336,0.503,TRUE,0.126,TRUE,3,30,1,,77.266,,,,,,,,,N,N,N,N,N
26,B2,FALSE,Ctrl,Target5,UNKNOWN,SYBR,None,0.706,0.16,3.115,34.491,34.638,0.278,,1.982,1.336,0.503,TRUE,0.126,TRUE,3,30,1,,76.998,,,,,,,,,N,N,N,N,N
27,B3,FALSE,Ctrl,Target5,UNKNOWN,SYBR,None,0.706,0.16,3.115,34.958,34.638,0.278,,1.982,1.336,0.503,TRUE,0.126,TRUE,3,31,1,,77.132,,,,,,,,,N,N,N,N,N
37,B13,FALSE,Tx,Target5,UNKNOWN,SYBR,None,1,0.128,7.8,35.171,36.401,1.07,,1.479,1.849,0,TRUE,0.126,TRUE,3,31,1,,76.998,87.48,,,,,,,,Y,N,N,N,Y
38,B14,FALSE,Tx,Target5,UNKNOWN,SYBR,None,1,0.128,7.8,37.118,36.401,1.07,,1.479,1.849,0,TRUE,0.126,TRUE,3,32,1,,77.804,,,,,,,,,Y,N,N,N,N
39,B15,FALSE,Tx,Target5,UNKNOWN,SYBR,None,1,0.128,7.8,36.914,36.401,1.07,,1.479,1.849,0,TRUE,0.126,TRUE,3,32,1,,79.685,,,,,,,,,Y,N,N,N,N
73,D1,FALSE,Ctrl,Target6,UNKNOWN,SYBR,None,0.575,0.131,2.52,31.845,31.837,0.245,,-0.819,1.33,0.798,TRUE,0.15,TRUE,3,26,1,,77.401,,,,,,,,,N,N,N,N,N
74,D2,FALSE,Ctrl,Target6,UNKNOWN,SYBR,None,0.575,0.131,2.52,32.078,31.837,0.245,,-0.819,1.33,0.798,TRUE,0.15,TRUE,3,27,1,,77.401,81.298,,,,,,,,N,N,N,N,Y
75,D3,FALSE,Ctrl,Target6,UNKNOWN,SYBR,None,0.575,0.131,2.52,31.588,31.837,0.245,,-0.819,1.33,0.798,TRUE,0.15,TRUE,3,26,1,,77.535,,,,,,,,,N,N,N,N,N
85,D13,FALSE,Tx,Target6,UNKNOWN,SYBR,None,1,0.154,6.489,32.5,33.304,0.749,,-1.618,1.683,0,TRUE,0.15,TRUE,3,27,1,,77.401,81.567,,,,,,,,Y,N,N,N,Y
86,D14,FALSE,Tx,Target6,UNKNOWN,SYBR,None,1,0.154,6.489,33.98,33.304,0.749,,-1.618,1.683,0,TRUE,0.15,TRUE,3,28,1,,77.401,81.567,,,,,,,,Y,N,N,N,Y
87,D15,FALSE,Tx,Target6,UNKNOWN,SYBR,None,1,0.154,6.489,33.433,33.304,0.749,,-1.618,1.683,0,TRUE,0.15,TRUE,3,28,1,,77.669,,,,,,,,,Y,N,N,N,N
28,B4,FALSE,Ctrl,Target7,UNKNOWN,SYBR,None,0.236,0.054,1.03,30.955,31.2,0.219,,-1.456,1.326,2.082,TRUE,0.081,TRUE,3,26,1,,84.255,75.385,,,,,,,,N,N,N,N,Y
29,B5,FALSE,Ctrl,Target7,UNKNOWN,SYBR,None,0.236,0.054,1.03,31.268,31.2,0.219,,-1.456,1.326,2.082,TRUE,0.081,TRUE,3,27,1,,84.12,75.519,,,,,,,,N,N,N,N,Y
30,B6,FALSE,Ctrl,Target7,UNKNOWN,SYBR,None,0.236,0.054,1.03,31.378,31.2,0.219,,-1.456,1.326,2.082,TRUE,0.081,TRUE,3,27,1,,84.255,75.385,,,,,,,,N,N,N,N,Y
40,B16,FALSE,Tx,Target7,UNKNOWN,SYBR,None,1,0.186,5.383,31.225,31.384,0.15,,-3.538,1.515,0,TRUE,0.081,TRUE,3,28,1,,84.389,75.385,,,,,,,,N,N,N,N,Y
41,B17,FALSE,Tx,Target7,UNKNOWN,SYBR,None,1,0.186,5.383,31.407,31.384,0.15,,-3.538,1.515,0,TRUE,0.081,TRUE,3,28,1,,84.389,75.385,,,,,,,,N,N,N,N,Y
42,B18,FALSE,Tx,Target7,UNKNOWN,SYBR,None,1,0.186,5.383,31.521,31.384,0.15,,-3.538,1.515,0,TRUE,0.081,TRUE,3,27,1,,84.389,75.385,,,,,,,,N,N,N,N,Y
100,E4,FALSE,Ctrl,Target8,UNKNOWN,SYBR,None,0.312,0.048,2.043,34.18,35.417,1.072,,2.761,1.69,1.679,TRUE,0.121,TRUE,3,29,1,,83.314,80.Tx,,,,,,,,Y,N,Y,N,Y
101,E5,FALSE,Ctrl,Target8,UNKNOWN,SYBR,None,0.312,0.048,2.043,36.016,35.417,1.072,,2.761,1.69,1.679,TRUE,0.121,TRUE,3,31,1,,80.089,83.314,,,,,,,,Y,N,N,N,Y
102,E6,FALSE,Ctrl,Target8,UNKNOWN,SYBR,None,0.312,0.048,2.043,36.055,35.417,1.072,,2.761,1.69,1.679,TRUE,0.121,TRUE,3,31,1,,80.626,,,,,,,,,Y,N,N,N,N
112,E16,FALSE,Tx,Target8,UNKNOWN,SYBR,None,1,0.151,6.605,35.11,36.004,0.784,,1.082,1.699,0,TRUE,0.121,TRUE,3,30,1,,83.449,80.895,,,,,,,,Y,N,N,N,Y
113,E17,FALSE,Tx,Target8,UNKNOWN,SYBR,None,1,0.151,6.605,36.329,36.004,0.784,,1.082,1.699,0,TRUE,0.121,TRUE,3,32,1,,80.626,83.449,,,,,,,,Y,N,N,N,Y
