Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,CT,Ct Mean,Ct SD,Quantity,Delta Ct Mean,Delta Ct SD,Delta Delta Ct,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Comments,Tm1,Tm2,Tm3,Custom1,Custom2,Custom3,Custom4,Custom5,Custom6,HIGHSD,THOLDFAIL,MTP
52,C4,FALSE,Ctrl,Ref,UNKNOWN,SYBR,None,1.588,0.799,3.156,18.699,18.59,0.145,,-12.7,0.618,-0.667,TRUE,0.207,TRUE,3,14,1,,82.519,,,,,,,,,N,N,N
53,C5,FALSE,Ctrl,Ref,UNKNOWN,SYBR,None,1.588,0.799,3.156,18.644,18.59,0.145,,-12.7,0.618,-0.667,TRUE,0.207,TRUE,3,13,1,,82.385,,,,,,,,,N,N,N
54,C6,FALSE,Ctrl,Ref,UNKNOWN,SYBR,None,1.588,0.799,3.156,18.426,18.59,0.145,,-12.7,0.618,-0.667,TRUE,0.207,TRUE,3,12,1,,82.25,,,,,,,,,N,N,N
64,C16,FALSE,Tx,Ref,UNKNOWN,SYBR,None,1,0.432,2.313,18.493,18.662,0.253,,-12.033,0.755,0,TRUE,0.207,TRUE,3,13,1,,82.385,,,,,,,,,N,N,N
65,C17,FALSE,Tx,Ref,UNKNOWN,SYBR,None,1,0.432,2.313,18.541,18.662,0.253,,-12.033,0.755,0,TRUE,0.207,TRUE,3,14,1,,82.25,,,,,,,,,N,N,N
66,C18,FALSE,Tx,Ref,UNKNOWN,SYBR,None,1,0.432,2.313,18.954,18.662,0.253,,-12.033,0.755,0,TRUE,0.207,TRUE,3,14,1,,81.847,,,,,,,,,N,N,N
1,A1,FALSE,Ctrl,Target19,UNKNOWN,SYBR,None,,,,30.803,31.29,0.601,,,,,TRUE,0.123,TRUE,3,26,1,,82.923,,,,,,,,,Y,N,N
2,A2,FALSE,Ctrl,Target19,UNKNOWN,SYBR,None,,,,31.106,31.29,0.601,,,,,TRUE,0.123,TRUE,3,26,1,,83.326,75.258,,,,,,,,Y,N,Y
3,A3,FALSE,Ctrl,Target19,UNKNOWN,SYBR,None,,,,31.962,31.29,0.601,,,,,TRUE,0.123,TRUE,3,27,1,,83.461,75.258,,,,,,,,Y,N,Y
13,A13,FALSE,Tx,Target19,UNKNOWN,SYBR,None,,,,31.511,30.696,0.711,,,,,TRUE,0.123,TRUE,3,26,1,,83.595,,,,,,,,,Y,N,N
14,A14,FALSE,Tx,Target19,UNKNOWN,SYBR,None,,,,30.372,30.696,0.711,,,,,TRUE,0.123,TRUE,3,26,1,,83.73,,,,,,,,,Y,N,N
15,A15,FALSE,Tx,Target19,UNKNOWN,SYBR,None,,,,30.204,30.696,0.711,,,,,TRUE,0.123,TRUE,3,26,1,,83.73,74.586,,,,,,,,Y,N,Y
49,C1,FALSE,Ctrl,Target20,UNKNOWN,SYBR,None,1.316,0.549,3.153,28.944,29.254,0.507,,-2.037,0.786,-0.396,TRUE,0.165,TRUE,3,24,1,,75.124,,,,,,,,,Y,N,N
50,C2,FALSE,Ctrl,Target20,UNKNOWN,SYBR,None,1.316,0.549,3.153,28.978,29.254,0.507,,-2.037,0.786,-0.396,TRUE,0.165,TRUE,3,24,1,,75.124,,,,,,,,,Y,N,N
51,C3,FALSE,Ctrl,Target20,UNKNOWN,SYBR,None,1.316,0.549,3.153,29.839,29.254,0.507,,-2.037,0.786,-0.396,TRUE,0.165,TRUE,3,23,1,,74.721,,,,,,,,,Y,N,N
61,C13,FALSE,Tx,Target20,UNKNOWN,SYBR,None,1,0.355,2.813,28.763,29.055,0.601,,-1.64,0.931,0,TRUE,0.165,TRUE,3,22,1,,75.258,,,,,,,,,Y,N,N
62,C14,FALSE,Tx,Target20,UNKNOWN,SYBR,None,1,0.355,2.813,28.656,29.055,0.601,,-1.64,0.931,0,TRUE,0.165,TRUE,3,24,1,,75.662,,,,,,,,,Y,N,N
63,C15,FALSE,Tx,Target20,UNKNOWN,SYBR,None,1,0.355,2.813,29.747,29.055,0.601,,-1.64,0.931,0,TRUE,0.165,TRUE,3,24,1,,74.721,,,,,,,,,Y,N,N
10,A10,FALSE,Ctrl,Target21,UNKNOWN,SYBR,None,0.582,0.279,1.211,20.942,21.206,0.274,,-10.084,0.66,0.782,TRUE,0.04,TRUE,3,18,1,,81.578,,,,,,,,,N,Y,N
11,A11,FALSE,Ctrl,Target21,UNKNOWN,SYBR,None,0.582,0.279,1.211,21.187,21.206,0.274,,-10.084,0.66,0.782,TRUE,0.04,TRUE,3,17,1,,82.116,,,,,,,,,N,Y,N
12,A12,FALSE,Ctrl,Target21,UNKNOWN,SYBR,None,0.582,0.279,1.211,21.489,21.206,0.274,,-10.084,0.66,0.782,TRUE,0.04,TRUE,3,19,1,,81.578,,,,,,,,,N,Y,N
22,A22,FALSE,Tx,Target21,UNKNOWN,SYBR,None,1,0.435,2.3,19.673,19.83,0.238,,-10.866,0.75,0,TRUE,0.04,TRUE,3,16,1,,81.578,,,,,,,,,N,Y,N
23,A23,FALSE,Tx,Target21,UNKNOWN,SYBR,None,1,0.435,2.3,20.104,19.83,0.238,,-10.866,0.75,0,TRUE,0.04,TRUE,3,17,1,,81.982,,,,,,,,,N,Y,N
24,A24,FALSE,Tx,Target21,UNKNOWN,SYBR,None,1,0.435,2.3,19.712,19.83,0.238,,-10.866,0.75,0,TRUE,0.04,TRUE,3,16,1,,81.982,,,,,,,,,N,Y,N
4,A4,FALSE,Ctrl,Target22,UNKNOWN,SYBR,None,2.108,1.08,4.112,27.81,27.784,0.024,,-3.506,0.601,-1.076,TRUE,0.321,TRUE,3,21,1,,75.931,,,,,,,,,N,N,N
5,A5,FALSE,Ctrl,Target22,UNKNOWN,SYBR,None,2.108,1.08,4.112,27.763,27.784,0.024,,-3.506,0.601,-1.076,TRUE,0.321,TRUE,3,20,1,,75.931,,,,,,,,,N,N,N
6,A6,FALSE,Ctrl,Target22,UNKNOWN,SYBR,None,2.108,1.08,4.112,27.779,27.784,0.024,,-3.506,0.601,-1.076,TRUE,0.321,TRUE,3,21,1,,76.334,,,,,,,,,N,N,N
16,A16,FALSE,Tx,Target22,UNKNOWN,SYBR,None,1,0.416,2.401,28.008,28.265,0.341,,-2.43,0.788,0,TRUE,0.321,TRUE,3,21,1,,76.603,,,,,,,,,N,N,N
17,A17,FALSE,Tx,Target22,UNKNOWN,SYBR,None,1,0.416,2.401,28.136,28.265,0.341,,-2.43,0.788,0,TRUE,0.321,TRUE,3,22,1,,76.2,,,,,,,,,N,N,N
18,A18,FALSE,Tx,Target22,UNKNOWN,SYBR,None,1,0.416,2.401,28.652,28.265,0.341,,-2.43,0.788,0,TRUE,0.321,TRUE,3,22,1,,76.2,,,,,,,,,N,N,N
55,C7,FALSE,Ctrl,Target23,UNKNOWN,SYBR,None,1.83,0.684,4.897,26.368,26.936,0.651,,-4.354,0.886,-0.872,TRUE,0.332,TRUE,3,20,1,,76.065,,,,,,,,,Y,N,N
56,C8,FALSE,Ctrl,Target23,UNKNOWN,SYBR,None,1.83,0.684,4.897,27.646,26.936,0.651,,-4.354,0.886,-0.872,TRUE,0.332,TRUE,3,22,1,,75.393,,,,,,,,,Y,N,N
57,C9,FALSE,Ctrl,Target23,UNKNOWN,SYBR,None,1.83,0.684,4.897,26.794,26.936,0.651,,-4.354,0.886,-0.872,TRUE,0.332,TRUE,3,20,1,,75.796,,,,,,,,,Y,N,N
67,C19,FALSE,Tx,Target23,UNKNOWN,SYBR,None,1,0.45,2.221,27.176,27.213,0.103,,-3.482,0.718,0,TRUE,0.332,TRUE,3,21,1,,75.796,,,,,,,,,N,N,N
68,C20,FALSE,Tx,Target23,UNKNOWN,SYBR,None,1,0.45,2.221,27.134,27.213,0.103,,-3.482,0.718,0,TRUE,0.332,TRUE,3,21,1,,75.931,,,,,,,,,N,N,N
69,C21,FALSE,Tx,Target23,UNKNOWN,SYBR,None,1,0.45,2.221,27.33,27.213,0.103,,-3.482,0.718,0,TRUE,0.332,TRUE,3,22,1,,75.796,,,,,,,,,N,N,N
25,B1,FALSE,Ctrl,Target24,UNKNOWN,SYBR,None,1.971,0.986,3.939,26.826,26.987,0.165,,-4.303,0.623,-0.979,TRUE,0.079,TRUE,3,22,1,,74.586,,,,,,,,,N,N,N
