Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,CT,Ct Mean,Ct SD,Quantity,Delta Ct Mean,Delta Ct SD,Delta Delta Ct,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Comments,Tm1,Tm2,Tm3,Custom1,Custom2,Custom3,Custom4,Custom5,Custom6,HIGHSD,OUTLIERRG,MTP
241,K1,FALSE,Ctrl,Target33,UNKNOWN,SYBR,None,,,,37.641,36.018,2.807,,,,,TRUE,0.234,TRUE,3,32,1,,72.13,78.969,,,,,,,,Y,N,Y
242,K2,FALSE,Ctrl,Target33,UNKNOWN,SYBR,None,,,,32.776,36.018,2.807,,,,,TRUE,0.234,TRUE,3,27,1,,72.532,,,,,,,,,Y,Y,N
243,K3,FALSE,Ctrl,Target33,UNKNOWN,SYBR,None,,,,37.636,36.018,2.807,,,,,TRUE,0.234,TRUE,3,32,1,,72.264,,,,,,,,,Y,N,N
244,K4,FALSE,Ctrl,Target35,UNKNOWN,SYBR,None,0,0,0.087,32.378,39.425,6.188,,3.407,6.795,14.423,TRUE,0.189,TRUE,3,27,1,,78.969,,,,,,,,,Y,N,N
245,K5,FALSE,Ctrl,Target35,UNKNOWN,SYBR,None,0,0,0.087,41.92,39.425,6.188,,3.407,6.795,14.423,TRUE,0.189,TRUE,3,36,1,,80.176,75.214,,,,,,,,Y,N,Y
246,K6,FALSE,Ctrl,Target35,UNKNOWN,SYBR,None,0,0,0.087,43.976,39.425,6.188,,3.407,6.795,14.423,TRUE,0.189,TRUE,3,38,1,,75.08,80.578,,,,,,,,Y,N,Y
247,K7,FALSE,Ctrl,Target34,UNKNOWN,SYBR,None,0.103,0.002,6.094,33.107,35.385,2.368,,-0.633,3.673,3.28,TRUE,0.248,TRUE,3,28,1,,76.823,,,,,,,,,Y,N,N
248,K8,FALSE,Ctrl,Target34,UNKNOWN,SYBR,None,0.103,0.002,6.094,37.834,35.385,2.368,,-0.633,3.673,3.28,TRUE,0.248,TRUE,3,31,1,,77.36,73.605,,,,,,,,Y,N,Y
249,K9,FALSE,Ctrl,Target34,UNKNOWN,SYBR,None,0.103,0.002,6.094,35.214,35.385,2.368,,-0.633,3.673,3.28,TRUE,0.248,TRUE,3,29,1,,73.337,,,,,,,,,Y,N,N
250,K10,FALSE,Ctrl,Target36,UNKNOWN,SYBR,None,0.08,0,100.892,32.171,38.696,5.777,,2.678,6.423,3.639,TRUE,0.193,TRUE,3,27,1,,76.019,,,,,,,,,Y,N,N
251,K11,FALSE,Ctrl,Target36,UNKNOWN,SYBR,None,0.08,0,100.892,40.753,38.696,5.777,,2.678,6.423,3.639,TRUE,0.193,TRUE,3,35,1,,75.616,,,,,,,,,Y,N,N
252,K12,FALSE,Ctrl,Target36,UNKNOWN,SYBR,None,0.08,0,100.892,43.162,38.696,5.777,,2.678,6.423,3.639,TRUE,0.193,TRUE,3,38,1,,75.885,,,,,,,,,Y,N,N
253,K13,FALSE,Tx,Target33,UNKNOWN,SYBR,None,,,,45.543,43.293,2.341,,,,,TRUE,0.234,TRUE,3,40,1,,80.041,76.019,71.191,,,,,,,Y,N,Y
254,K14,FALSE,Tx,Target33,UNKNOWN,SYBR,None,,,,40.871,43.293,2.341,,,,,TRUE,0.234,TRUE,3,35,1,,72.398,,,,,,,,,Y,N,N
255,K15,FALSE,Tx,Target33,UNKNOWN,SYBR,None,,,,43.465,43.293,2.341,,,,,TRUE,0.234,TRUE,3,38,1,,76.019,,,,,,,,,Y,N,N
256,K16,FALSE,Tx,Target35,UNKNOWN,SYBR,None,1,0.072,13.874,32.68,32.276,0.35,,-11.017,2.367,0,TRUE,0.189,TRUE,3,27,1,,79.103,,,,,,,,,N,Y,N
257,K17,FALSE,Tx,Target35,UNKNOWN,SYBR,None,1,0.072,13.874,32.079,32.276,0.35,,-11.017,2.367,0,TRUE,0.189,TRUE,3,27,1,,79.505,,,,,,,,,N,N,N
258,K18,FALSE,Tx,Target35,UNKNOWN,SYBR,None,1,0.072,13.874,32.069,32.276,0.35,,-11.017,2.367,0,TRUE,0.189,TRUE,3,27,1,,79.237,,,,,,,,,N,N,N
259,K19,FALSE,Tx,Target34,UNKNOWN,SYBR,None,1,0.048,20.954,40.284,39.38,1.42,,-3.913,2.738,0,TRUE,0.248,TRUE,3,35,1,,79.773,70.521,,,,,,,,Y,N,Y
260,K20,FALSE,Tx,Target34,UNKNOWN,SYBR,None,1,0.048,20.954,37.743,39.38,1.42,,-3.913,2.738,0,TRUE,0.248,TRUE,3,33,1,,73.203,,,,,,,,,Y,N,N
261,K21,FALSE,Tx,Target34,UNKNOWN,SYBR,None,1,0.048,20.954,40.113,39.38,1.42,,-3.913,2.738,0,TRUE,0.248,TRUE,3,35,1,,78.566,72.13,,,,,,,,Y,N,Y
262,K22,FALSE,Tx,Target36,UNKNOWN,SYBR,None,1,0.017,58.79,45.509,42.332,2.822,,-0.961,3.667,0,TRUE,0.193,TRUE,3,40,1,,71.326,78.164,,,,,,,,Y,N,Y
263,K23,FALSE,Tx,Target36,UNKNOWN,SYBR,None,1,0.017,58.79,41.367,42.332,2.822,,-0.961,3.667,0,TRUE,0.193,TRUE,3,36,1,,69.582,78.432,,,,,,,,Y,N,Y
264,K24,FALSE,Tx,Target36,UNKNOWN,SYBR,None,1,0.017,58.79,40.118,42.332,2.822,,-0.961,3.667,0,TRUE,0.193,TRUE,3,34,1,,82.991,78.298,,,,,,,,Y,N,Y
265,L1,FALSE,Ctrl,Ref,UNKNOWN,SYBR,None,0.004,0,0.099,18.378,18.435,0.082,,-17.583,2.808,7.845,TRUE,0.177,TRUE,3,12,1,,82.589,,,,,,,,,N,N,N
266,L2,FALSE,Ctrl,Ref,UNKNOWN,SYBR,None,0.004,0,0.099,18.397,18.435,0.082,,-17.583,2.808,7.845,TRUE,0.177,TRUE,3,13,1,,82.589,,,,,,,,,N,N,N
267,L3,FALSE,Ctrl,Ref,UNKNOWN,SYBR,None,0.004,0,0.099,18.529,18.435,0.082,,-17.583,2.808,7.845,TRUE,0.177,TRUE,3,14,1,,82.455,,,,,,,,,N,N,N
277,L13,FALSE,Tx,Ref,UNKNOWN,SYBR,None,1,0.074,13.505,17.968,17.865,0.091,,-25.428,2.343,0,TRUE,0.177,TRUE,3,12,1,,82.455,,,,,,,,,N,N,N
278,L14,FALSE,Tx,Ref,UNKNOWN,SYBR,None,1,0.074,13.505,17.831,17.865,0.091,,-25.428,2.343,0,TRUE,0.177,TRUE,3,13,1,,82.723,,,,,,,,,N,N,N
279,L15,FALSE,Tx,Ref,UNKNOWN,SYBR,None,1,0.074,13.505,17.797,17.865,0.091,,-25.428,2.343,0,TRUE,0.177,TRUE,3,13,1,,82.723,,,,,,,,,N,N,N
