Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,CT,Ct Mean,Ct SD,Quantity,Delta Ct Mean,Delta Ct SD,Delta Delta Ct,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Comments,Tm1,Tm2,Tm3,Custom1,Custom2,Custom3,Custom4,Custom5,Custom6,HIGHSD,OUTLIERRG,EXPFAIL,MTP
52,C4,FALSE,Ctrl,Ref,UNKNOWN,SYBR,None,0.27,0.156,0.468,18.888,18.85,0.046,,-15.044,0.496,1.89,TRUE,0.207,TRUE,3,14,1,,82.591,,,,,,,,,N,N,N,N
53,C5,FALSE,Ctrl,Ref,UNKNOWN,SYBR,None,0.27,0.156,0.468,18.862,18.85,0.046,,-15.044,0.496,1.89,TRUE,0.207,TRUE,3,14,1,,82.457,,,,,,,,,N,N,N,N
54,C6,FALSE,Ctrl,Ref,UNKNOWN,SYBR,None,0.27,0.156,0.468,18.8,18.85,0.046,,-15.044,0.496,1.89,TRUE,0.207,TRUE,3,13,1,,82.457,,,,,,,,,N,N,N,N
64,C16,FALSE,Tx,Ref,UNKNOWN,SYBR,None,1,0.232,4.304,18.046,18.238,0.258,,-16.934,1.314,0,TRUE,0.207,TRUE,3,13,1,,82.725,,,,,,,,,N,N,N,N
65,C17,FALSE,Tx,Ref,UNKNOWN,SYBR,None,1,0.232,4.304,18.136,18.238,0.258,,-16.934,1.314,0,TRUE,0.207,TRUE,3,13,1,,82.725,,,,,,,,,N,N,N,N
66,C18,FALSE,Tx,Ref,UNKNOWN,SYBR,None,1,0.232,4.304,18.53,18.238,0.258,,-16.934,1.314,0,TRUE,0.207,TRUE,3,13,1,,82.189,,,,,,,,,N,N,N,N
1,A1,FALSE,Ctrl,Target10,UNKNOWN,SYBR,None,,,,33.698,33.894,0.493,,,,,TRUE,0.173,TRUE,3,28,1,,81.652,76.556,,,,,,,,N,N,N,Y
2,A2,FALSE,Ctrl,Target10,UNKNOWN,SYBR,None,,,,34.455,33.894,0.493,,,,,TRUE,0.173,TRUE,3,30,1,,81.518,71.863,,,,,,,,N,N,N,Y
3,A3,FALSE,Ctrl,Target10,UNKNOWN,SYBR,None,,,,33.528,33.894,0.493,,,,,TRUE,0.173,TRUE,3,29,1,,81.384,73.338,,,,,,,,N,N,N,Y
13,A13,FALSE,Tx,Target10,UNKNOWN,SYBR,None,,,,34.1,35.171,1.288,,,,,TRUE,0.173,TRUE,3,30,1,,81.786,76.288,,,,,,,,Y,N,N,Y
14,A14,FALSE,Tx,Target10,UNKNOWN,SYBR,None,,,,36.6,35.171,1.288,,,,,TRUE,0.173,TRUE,3,32,1,,81.518,,,,,,,,,Y,N,N,N
15,A15,FALSE,Tx,Target10,UNKNOWN,SYBR,None,,,,34.814,35.171,1.288,,,,,TRUE,0.173,TRUE,3,30,1,,81.518,,,,,,,,,Y,N,N,N
31,B7,FALSE,Ctrl,Target11,UNKNOWN,SYBR,None,2.781,0.108,71.288,41.558,38.Tx,2.878,,4.463,2.92,-1.475,TRUE,0.163,TRUE,3,36,1,,78.434,72.399,,,,,,,,Y,N,N,Y
